RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09
102001,United States,0,1329,1335,1340,1346,1351,1357,1362,1368,1373,1379,1384,1390,1395,1400,1406,1411,1416,1422,1427,1432,1437,1443,1448,1453,1458,1462,1466,1471,1475,1479,1483,1487,1491,1495,1499,1503,1507,1511,1515,1519,1523,1527,1531,1536,1540,1544,1548,1553,1557,1561,1566,1570,1575,1580,1585,1590,1595,1599,1604,1609,1614,1619,1624,1629,1633,1638,1643,1647,1651,1655,1657,1659,1661,1662,1663,1663,1664,1665,1666,1669,1671,1674,1685,1696,1707,1721,1735,1749,1763,1778,1793,1809,1824
394913,"New York, NY",1,2294,2304,2315,2325,2335,2345,2355,2365,2376,2386,2396,2405,2415,2424,2434,2443,2451,2460,2469,2476,2483,2491,2496,2502,2507,2512,2516,2521,2524,2528,2532,2535,2539,2542,2546,2550,2553,2557,2561,2565,2568,2571,2574,2577,2579,2582,2584,2587,2589,2593,2596,2599,2603,2607,2611,2616,2621,2626,2632,2638,2643,2649,2654,2659,2664,2669,2674,2677,2681,2684,2682,2679,2676,2663,2649,2636,2618,2599,2580,2563,2545,2528,2529,2530,2530,2540,2550,2559,2571,2583,2594,2609,2623
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1702,1712,1723,1733,1743,1753,1764,1774,1784,1794,1805,1815,1825,1835,1845,1855,1865,1875,1885,1896,1906,1917,1927,1938,1948,1958,1968,1978,1987,1996,2005,2014,2023,2032,2041,2050,2059,2068,2076,2085,2093,2102,2110,2118,2125,2133,2140,2148,2155,2162,2170,2177,2185,2193,2200,2208,2216,2223,2231,2238,2245,2252,2259,2266,2272,2278,2285,2290,2295,2300,2301,2303,2305,2303,2302,2301,2299,2297,2295,2296,2296,2296,2307,2318,2328,2343,2358,2373,2389,2405,2421,2438,2455
394463,"Chicago, IL",3,1418,1422,1426,1430,1433,1437,1441,1444,1448,1451,1455,1458,1462,1465,1469,1473,1476,1480,1484,1489,1493,1498,1503,1508,1512,1516,1520,1524,1526,1529,1532,1535,1538,1540,1543,1546,1548,1551,1553,1556,1558,1561,1564,1566,1569,1572,1574,1577,1579,1582,1584,1587,1589,1592,1595,1598,1601,1604,1607,1611,1614,1618,1621,1625,1629,1633,1636,1639,1643,1646,1647,1648,1649,1647,1645,1643,1640,1637,1633,1631,1628,1626,1629,1633,1637,1643,1650,1656,1663,1670,1677,1685,1693
394514,"Dallas-Fort Worth, TX",4,1185,1189,1193,1196,1200,1204,1208,1212,1216,1220,1224,1228,1232,1237,1242,1247,1252,1256,1261,1266,1271,1276,1281,1286,1291,1297,1302,1308,1313,1319,1324,1329,1335,1340,1344,1349,1354,1358,1363,1368,1372,1376,1381,1385,1389,1394,1397,1401,1405,1409,1412,1416,1420,1424,1428,1432,1437,1441,1446,1450,1455,1459,1464,1468,1472,1476,1481,1484,1487,1491,1493,1495,1497,1498,1500,1501,1503,1506,1508,1513,1518,1523,1536,1549,1562,1579,1595,1612,1629,1646,1663,1681,1699
394974,"Philadelphia, PA",5,1301,1304,1307,1309,1312,1315,1317,1320,1323,1325,1328,1331,1335,1337,1340,1343,1346,1349,1353,1356,1360,1364,1367,1370,1374,1377,1380,1383,1386,1389,1392,1395,1398,1400,1403,1405,1408,1410,1413,1415,1418,1421,1424,1427,1430,1432,1436,1439,1442,1446,1449,1453,1457,1461,1465,1469,1473,1477,1481,1485,1489,1493,1497,1501,1505,1509,1513,1516,1520,1523,1526,1528,1530,1532,1534,1536,1538,1540,1542,1545,1548,1551,1558,1565,1572,1580,1589,1598,1606,1615,1624,1634,1643
394692,"Houston, TX",6,1174,1180,1187,1194,1200,1207,1213,1220,1226,1233,1238,1243,1249,1252,1256,1259,1262,1265,1268,1271,1273,1276,1277,1278,1280,1280,1280,1280,1280,1279,1279,1278,1278,1277,1277,1277,1276,1278,1279,1280,1283,1286,1289,1293,1297,1301,1305,1309,1313,1317,1320,1324,1326,1328,1331,1332,1334,1336,1338,1340,1341,1343,1345,1347,1349,1351,1353,1355,1356,1358,1358,1359,1359,1358,1358,1358,1358,1358,1358,1359,1360,1362,1369,1377,1385,1395,1405,1415,1426,1436,1447,1458,1470
395209,"Washington, DC",7,1803,1806,1809,1812,1815,1818,1821,1824,1826,1829,1831,1834,1836,1838,1840,1842,1844,1847,1849,1853,1856,1859,1862,1865,1868,1870,1873,1875,1877,1880,1882,1884,1887,1889,1892,1895,1898,1901,1904,1907,1910,1912,1914,1917,1919,1921,1923,1926,1928,1932,1935,1938,1943,1947,1951,1956,1961,1966,1971,1976,1981,1986,1991,1996,2000,2005,2009,2012,2016,2019,2019,2020,2020,2017,2014,2011,2005,2000,1994,1990,1985,1980,1985,1989,1993,2002,2010,2019,2028,2038,2047,2058,2069
394856,"Miami-Fort Lauderdale, FL",8,1586,1594,1602,1610,1618,1626,1634,1641,1649,1657,1665,1673,1681,1689,1697,1705,1713,1721,1730,1737,1745,1753,1760,1766,1773,1778,1782,1787,1791,1794,1797,1800,1803,1806,1809,1811,1814,1818,1821,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1865,1869,1873,1878,1882,1887,1892,1896,1901,1905,1909,1913,1917,1921,1925,1929,1934,1938,1943,1947,1952,1955,1958,1961,1964,1966,1969,1973,1977,1981,1989,1998,2007,2031,2054,2078,2107,2136,2166,2197,2227,2258,2291,2323
394347,"Atlanta, GA",9,1095,1099,1103,1106,1110,1115,1119,1123,1127,1131,1136,1140,1145,1150,1155,1160,1165,1170,1175,1180,1186,1191,1197,1202,1208,1214,1220,1226,1232,1239,1245,1251,1256,1262,1268,1273,1279,1285,1291,1297,1302,1308,1314,1320,1327,1333,1339,1345,1351,1357,1364,1370,1377,1384,1391,1398,1405,1413,1420,1427,1434,1440,1447,1453,1459,1465,1470,1475,1480,1485,1489,1492,1496,1500,1505,1509,1515,1522,1528,1539,1549,1560,1579,1599,1619,1642,1665,1689,1713,1737,1761,1786,1811
